Make,model,year,engineSize,fuelType,transmission,mileage,mpg,tax,price
Porsche,Cayenne,2022,3,Petrol,Manual,17741,26,570,99624
BMW,M5 CS,2023,4.4,Petrol,Automatic,29003,25,600,160760
Land Rover,Range Rover Sport,2022,3,Diesel,Manual,19076,28,580,95993
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,29830,20,630,179834
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,7093,26,570,97637
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,24638,26,570,100681
Toyota,Land Cruiser,2019,3.3,Diesel,Semi-Automatic,17121,27,560,84514
Toyota,Land Cruiser,2019,3.3,Diesel,Semi-Automatic,26768,27,560,84881
Lamborghini,Urus,2019,4,Petrol,Automatic,14890,22,650,218658
Lamborghini,Urus,2019,4,Petrol,Manual,37786,22,650,222714
Lamborghini,Urus,2019,4,Petrol,Automatic,11353,22,650,224121
Porsche,Cayenne,2020,3,Petrol,Manual,31386,26,570,101614
Lamborghini,Urus,2023,4,Petrol,Automatic,25550,22,650,217966
Lamborghini,Urus,2019,4,Petrol,Automatic,23190,22,650,224747
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,29879,26,570,97476
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,19780,28,580,93706
Land Rover,Range Rover Sport,2023,3,Diesel,Semi-Automatic,15542,28,580,91175
Land Rover,Range Rover Sport,2023,3,Diesel,Manual,13395,28,580,91963
Lamborghini,Urus,2019,4,Petrol,Manual,9860,22,650,218319
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,10149,20,630,176637
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,9092,26,570,102742
BMW,M5 CS,2023,4.4,Petrol,Automatic,12225,25,600,165893
Porsche,Cayenne,2021,3,Petrol,Manual,20195,26,570,102146
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,7076,20,630,184238
Land Rover,Range Rover Sport,2023,3,Diesel,Manual,8271,28,580,91100
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,22066,20,630,179861
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,34050,20,630,183976
BMW,M5 CS,2022,4.4,Petrol,Automatic,20777,25,600,168056
Volvo,S90,2022,2,Hybrid,Semi-Automatic,11538,45,320,50390
Lamborghini,Urus,2022,4,Petrol,Automatic,23342,22,650,215999
Lamborghini,Urus,2023,4,Petrol,Manual,21006,22,650,218709
Porsche,Cayenne,2021,3,Petrol,Manual,10490,26,570,95097
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,23720,26,570,97723
Toyota,Land Cruiser,2023,3.3,Diesel,Manual,28105,27,560,84834
BMW,M5 CS,2022,4.4,Petrol,Automatic,33595,25,600,167746
Toyota,Land Cruiser,2019,3.3,Diesel,Semi-Automatic,32335,27,560,89674
Volvo,S90,2023,2,Hybrid,Semi-Automatic,25887,45,320,51385
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,24877,28,580,90440
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,34607,28,580,91264
Toyota,Land Cruiser,2019,3.3,Diesel,Manual,26536,27,560,86237
Volvo,S90,2023,2,Hybrid,Semi-Automatic,10984,45,320,48331
Lamborghini,Urus,2021,4,Petrol,Automatic,25164,22,650,216224
Volvo,S90,2021,2,Hybrid,Manual,26625,45,320,51770
Lamborghini,Urus,2021,4,Petrol,Automatic,14990,22,650,219757
BMW,M5 CS,2023,4.4,Petrol,Automatic,39842,25,600,160839
BMW,M5 CS,2023,4.4,Petrol,Automatic,32609,25,600,164131
Lamborghini,Urus,2021,4,Petrol,Manual,33524,22,650,222678
Lamborghini,Urus,2021,4,Petrol,Automatic,30850,22,650,222176
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,32302,28,580,93578
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,36629,20,630,184756
Volvo,S90,2019,2,Hybrid,Semi-Automatic,39548,45,320,50078
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,32884,20,630,177350
Lamborghini,Urus,2022,4,Petrol,Automatic,15096,22,650,217251
Lamborghini,Urus,2021,4,Petrol,Automatic,39574,22,650,223931
BMW,M5 CS,2022,4.4,Petrol,Automatic,5447,25,600,166682
Toyota,Land Cruiser,2021,3.3,Diesel,Manual,6886,27,560,85284
BMW,M5 CS,2019,4.4,Petrol,Manual,12891,25,600,169055
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,16881,27,560,86851
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,38509,20,630,181595
Land Rover,Range Rover Sport,2023,3,Diesel,Semi-Automatic,30389,28,580,90012
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,21697,28,580,99711
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,13249,27,560,87296
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,25350,26,570,98864
Lamborghini,Urus,2020,4,Petrol,Manual,15444,22,650,221088
